seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
8217,1,2,100,DT,0.9813333333333333,0.842,GMM,0.8473333333333334,214
8217,1,2,100,DT,0.9813333333333333,0.842,Imitate,0.97,500
8217,1,2,100,DT,0.9813333333333333,0.842,Mimic (ours),0.8726666666666667,420
8217,1,2,100,SVM,0.9566666666666667,0.8453333333333334,GMM,0.8526666666666667,214
8217,1,2,100,SVM,0.9566666666666667,0.8453333333333334,Imitate,0.9233333333333333,500
8217,1,2,100,SVM,0.9566666666666667,0.8453333333333334,Mimic (ours),0.8893333333333333,420
8217,1,2,100,RF,0.982,0.8466666666666667,GMM,0.858,214
8217,1,2,100,RF,0.982,0.8466666666666667,Imitate,0.9753333333333334,500
8217,1,2,100,RF,0.982,0.8466666666666667,Mimic (ours),0.8906666666666667,420
7546,1,2,100,DT,0.8473333333333334,0.794,GMM,0.8286666666666667,294
7546,1,2,100,DT,0.8473333333333334,0.794,Imitate,0.8606666666666667,634
7546,1,2,100,DT,0.8473333333333334,0.794,Mimic (ours),0.862,553
7546,1,2,100,SVM,0.8393333333333334,0.6486666666666666,GMM,0.7326666666666667,294
7546,1,2,100,SVM,0.8393333333333334,0.6486666666666666,Imitate,0.8406666666666667,634
7546,1,2,100,SVM,0.8393333333333334,0.6486666666666666,Mimic (ours),0.7,553
7546,1,2,100,RF,0.8786666666666667,0.806,GMM,0.84,294
7546,1,2,100,RF,0.8786666666666667,0.806,Imitate,0.8793333333333333,634
7546,1,2,100,RF,0.8786666666666667,0.806,Mimic (ours),0.884,553
7987,1,2,100,DT,1.0,0.7546666666666667,GMM,0.8093333333333333,215
7987,1,2,100,DT,1.0,0.7546666666666667,Imitate,0.9953333333333333,935
7987,1,2,100,DT,1.0,0.7546666666666667,Mimic (ours),0.7913333333333333,173
7987,1,2,100,SVM,0.994,0.8173333333333334,GMM,0.8873333333333333,215
7987,1,2,100,SVM,0.994,0.8173333333333334,Imitate,0.9933333333333333,935
7987,1,2,100,SVM,0.994,0.8173333333333334,Mimic (ours),0.8686666666666667,173
7987,1,2,100,RF,0.9993333333333333,0.9893333333333333,GMM,0.9913333333333333,215
7987,1,2,100,RF,0.9993333333333333,0.9893333333333333,Imitate,0.9993333333333333,935
7987,1,2,100,RF,0.9993333333333333,0.9893333333333333,Mimic (ours),0.9926666666666667,173
