DS,rep,clf,optimal,biased,method,augmented_acc,added_points
Wholesale,0,DT,0.48863636363636365,0.5454545454545454,GMM,0.5568181818181818,0
Wholesale,0,DT,0.48863636363636365,0.5454545454545454,Imitate,0.5454545454545454,155
Wholesale,0,DT,0.48863636363636365,0.5454545454545454,Mimic (ours),0.42045454545454547,26
Wholesale,0,SVM,0.6590909090909091,0.6590909090909091,GMM,0.6590909090909091,0
Wholesale,0,SVM,0.6590909090909091,0.6590909090909091,Imitate,0.6590909090909091,155
Wholesale,0,SVM,0.6590909090909091,0.6590909090909091,Mimic (ours),0.6590909090909091,26
Wholesale,0,RF,0.6477272727272727,0.6477272727272727,GMM,0.6363636363636364,0
Wholesale,0,RF,0.6477272727272727,0.6477272727272727,Imitate,0.6477272727272727,155
Wholesale,0,RF,0.6477272727272727,0.6477272727272727,Mimic (ours),0.6363636363636364,26
Wholesale,1,DT,0.5909090909090909,0.4659090909090909,GMM,0.48863636363636365,0
Wholesale,1,DT,0.5909090909090909,0.4659090909090909,Imitate,0.6363636363636364,167
Wholesale,1,DT,0.5909090909090909,0.4659090909090909,Mimic (ours),0.5,57
Wholesale,1,SVM,0.7727272727272727,0.7727272727272727,GMM,0.7727272727272727,0
Wholesale,1,SVM,0.7727272727272727,0.7727272727272727,Imitate,0.7727272727272727,167
Wholesale,1,SVM,0.7727272727272727,0.7727272727272727,Mimic (ours),0.7727272727272727,57
Wholesale,1,RF,0.7613636363636364,0.7159090909090909,GMM,0.7386363636363636,0
Wholesale,1,RF,0.7613636363636364,0.7159090909090909,Imitate,0.7386363636363636,167
Wholesale,1,RF,0.7613636363636364,0.7159090909090909,Mimic (ours),0.75,57
Wholesale,2,DT,0.5681818181818182,0.4431818181818182,GMM,0.45454545454545453,0
Wholesale,2,DT,0.5681818181818182,0.4431818181818182,Imitate,0.5568181818181818,122
Wholesale,2,DT,0.5681818181818182,0.4431818181818182,Mimic (ours),0.5909090909090909,15
Wholesale,2,SVM,0.6818181818181818,0.6818181818181818,GMM,0.6818181818181818,0
Wholesale,2,SVM,0.6818181818181818,0.6818181818181818,Imitate,0.6818181818181818,122
Wholesale,2,SVM,0.6818181818181818,0.6818181818181818,Mimic (ours),0.6818181818181818,15
Wholesale,2,RF,0.6818181818181818,0.6477272727272727,GMM,0.5568181818181818,0
Wholesale,2,RF,0.6818181818181818,0.6477272727272727,Imitate,0.6818181818181818,122
Wholesale,2,RF,0.6818181818181818,0.6477272727272727,Mimic (ours),0.6818181818181818,15
Wholesale,3,DT,0.5227272727272727,0.4090909090909091,GMM,0.4318181818181818,0
Wholesale,3,DT,0.5227272727272727,0.4090909090909091,Imitate,0.4659090909090909,130
Wholesale,3,DT,0.5227272727272727,0.4090909090909091,Mimic (ours),0.5909090909090909,24
Wholesale,3,SVM,0.7613636363636364,0.7613636363636364,GMM,0.7613636363636364,0
Wholesale,3,SVM,0.7613636363636364,0.7613636363636364,Imitate,0.7613636363636364,130
Wholesale,3,SVM,0.7613636363636364,0.7613636363636364,Mimic (ours),0.7613636363636364,24
Wholesale,3,RF,0.7613636363636364,0.6022727272727273,GMM,0.6363636363636364,0
Wholesale,3,RF,0.7613636363636364,0.6022727272727273,Imitate,0.7272727272727273,130
Wholesale,3,RF,0.7613636363636364,0.6022727272727273,Mimic (ours),0.7272727272727273,24
Wholesale,4,DT,0.5,0.48863636363636365,GMM,0.4659090909090909,0
